,maxx,i,j,q,orders_long,orders_short,alpha
6262,-1.519343675044349,21,29,12,7,4,-8.35639021274392
8292,-1.1145604225278332,26,36,9,5,10,-8.359203168958748
2058,-0.6432519346158434,10,28,7,13,13,-8.362275150005964
10762,-1.1946978424982546,33,36,9,6,8,-8.362884897487783
5484,-1.1155480870408958,19,28,13,9,6,-8.366610652806719
11412,-1.394597858186997,35,36,13,5,7,-8.367587149121983
3489,-1.5219491622453423,14,23,13,6,5,-8.370720392349382
11308,-1.8607407745023206,35,31,4,5,4,-8.373333485260442
6102,-8.3796744653256,21,21,4,1,1,-8.3796744653256
5020,-1.6760988746126355,18,24,5,5,5,-8.380494373063177
8249,-1.1980131930560127,26,34,4,5,9,-8.386092351392088
4239,-1.3987532582360498,16,23,3,6,6,-8.3925195494163
7438,-1.1195271941574934,24,31,10,5,10,-8.396453956181201
7287,-3.3598973243662322,24,23,11,2,3,-8.39974331091558
3288,-0.6228736837896276,13,33,2,12,15,-8.408794731159972
10761,-1.2016007808240876,33,36,8,6,8,-8.411205465768614
6302,-1.294312316352186,21,31,14,8,5,-8.413030056289209
7442,-1.1221220729502694,24,31,14,5,10,-8.415915547127021
5849,-1.8707132291186237,20,27,17,5,4,-8.418209531033806
3781,-0.5615399807671683,14,39,1,15,15,-8.423099711507524
7244,-8.43279644597383,24,21,6,1,1,-8.43279644597383
6298,-1.2988384969794529,21,31,10,8,5,-8.442450230366443
2965,-0.5446887286634954,12,36,2,17,14,-8.442675294284179
8397,-16.89415322888098,27,21,19,0,1,-8.44707661444049
8518,-1.5362734389044586,27,28,7,7,4,-8.449503913974523
8304,-1.12697831233233,26,37,2,5,10,-8.452337342492475
4313,-1.3007090826781869,16,27,1,7,6,-8.454609037408215
10094,-1.2083950007677025,31,36,6,5,9,-8.458765005373918
3494,-1.5382908094002314,14,23,18,6,5,-8.460599451701272
6245,-1.4101370934367279,21,28,14,7,5,-8.460822560620368
3593,-0.8062288178559254,14,29,3,12,9,-8.465402587487217
7457,-1.0583062796908251,24,32,10,7,9,-8.466450237526601
3072,-2.1168988468724272,13,21,14,5,3,-8.467595387489709
7234,-8.476135816083952,24,20,15,1,1,-8.476135816083952
5035,-1.413577429170238,18,25,1,7,5,-8.481464575021429
30,-0.4465226961445608,5,21,12,21,17,-8.483931226746655
7641,-8.490275142318767,25,22,4,1,1,-8.490275142318767
5048,-1.4166585505559812,18,25,14,7,5,-8.499951303335887
5749,-2.428757890099393,20,22,12,3,4,-8.500652615347875
3540,-1.3080411916494168,14,26,7,8,5,-8.502267745721209
8684,-1.2150100615336956,27,37,2,5,9,-8.50507043073587
7761,-1.7018567672441465,25,28,10,5,5,-8.509283836220732
7654,-8.51310949151917,25,22,17,1,1,-8.51310949151917
10967,-2.434162504684996,34,30,5,4,3,-8.519568766397487
2723,-1.3112653078345557,12,23,7,8,5,-8.523224500924613
3234,-0.8119494105560423,13,30,5,13,8,-8.525468810838444
12398,-1.1368582636793085,38,37,11,7,8,-8.526436977594814
7660,-5.687081957780588,25,23,4,1,2,-8.530622936670882
2671,-1.5512968853669868,12,20,12,8,3,-8.532132869518428
2573,-0.5333042046901962,11,35,9,16,16,-8.53286727504314
7481,-1.137967079726481,24,33,15,8,7,-8.534753097948608
508,-0.4492326451398351,6,26,15,21,17,-8.535420257656867
10811,-1.0045797669604986,33,39,1,8,9,-8.538928019164238
1977,-0.8541309176787115,10,24,2,10,10,-8.541309176787115
3787,-0.5696853739277993,14,39,7,15,15,-8.54528060891699
5808,-2.1363950448057256,20,25,14,4,4,-8.545580179222902
2280,-1.424453285628188,11,20,1,7,5,-8.546719713769129
2282,-1.4246701247381408,11,20,3,7,5,-8.548020748428845
3844,-1.7097937043880924,15,22,7,6,4,-8.548968521940463
7813,-1.5543854747614418,25,31,5,5,6,-8.54912011118793
12332,-2.4444239689152103,38,34,2,5,2,-8.555483891203236
8278,-1.4260738956172123,26,35,14,5,7,-8.556443373703274
1427,-0.3720204564856997,8,35,3,26,20,-8.556470499171093
7335,-1.712800439301309,24,26,2,6,4,-8.564002196506545
11330,-2.1410698402798434,35,32,7,4,4,-8.564279361119373
7819,-1.5580953939260305,25,31,11,5,6,-8.569524666593168
3110,-1.4303479226962983,13,23,14,8,4,-8.58208753617779
824,-0.553889041664037,7,23,8,17,14,-8.585280145792574
7932,-1.3211602536456801,25,37,10,6,7,-8.58754164869692
7868,-1.1451079856383277,25,34,3,6,9,-8.588309892287459
2781,-1.1457644394536755,12,26,8,9,6,-8.593233295902566
1503,-0.35078116326959335,8,39,3,27,22,-8.594138500105037
11690,-2.456064291333086,36,34,6,4,3,-8.596225019665802
3987,-1.0115271471233052,15,29,17,9,8,-8.597980750548095
3092,-1.5633340232911863,13,22,15,8,3,-8.598337128101525
5850,-1.912852550358299,20,27,18,5,4,-8.607836476612345
