,maxx,i,j,q,orders_long,orders_short,alpha
20,0.25171338783247443,6,20,14,191,169,45.3084098098454
139,0.24860272674866185,8,30,10,194,166,44.74849081475913
133,0.24798985341574353,8,28,12,198,162,44.63817361483384
14,0.24730222097447993,6,18,14,189,171,44.51439977540639
148,0.243679612668459,8,34,8,197,163,43.86233028032262
198,0.23368499117903946,10,30,10,200,160,42.063298412227105
81,0.23209099494652907,8,18,10,190,170,41.77637909037523
144,0.23088387729828358,8,32,8,196,164,41.55909791369105
41,0.22184244087572086,6,24,18,200,160,39.931639357629756
83,0.21911989573172586,8,18,12,192,168,39.44158123171066
2,0.215869408842677,4,24,22,201,159,38.85649359168186
47,0.21453756675680583,6,26,15,199,161,38.616762016225046
159,0.21203568049223093,10,14,12,189,171,38.16642248860157
82,0.21148528557685986,8,18,11,189,171,38.06735140383478
59,0.21004341837985965,6,30,14,201,159,37.807815308374735
98,0.20976474457257815,8,20,18,195,165,37.75765402306407
213,0.20558792185394162,12,18,15,191,169,37.00582593370949
62,0.20453928411713262,6,32,11,195,165,36.81707114108387
45,0.20348083816257248,6,26,13,193,167,36.62655086926305
28,0.20318880039877527,6,22,14,191,169,36.57398407177955
77,0.20096661338463276,8,16,12,190,170,36.173990409233895
112,0.19805677849063455,8,24,9,190,170,35.65022012831422
78,0.1973303553985509,8,16,13,190,170,35.519463971739164
195,0.18897312724274704,10,28,11,198,162,34.01516290369447
193,0.1883867650562417,10,26,12,195,165,33.909617710123506
154,0.1835435087471107,8,38,9,203,157,33.037831574479924
40,0.18118310254858247,6,24,17,198,162,32.61295845874484
69,0.1803722668520643,6,36,12,202,158,32.46700803337158
138,0.1752243667103451,8,30,9,194,166,31.540386007862118
56,0.17379889549377858,6,28,16,198,162,31.283801188880144
140,0.17369921980857125,8,30,11,201,159,31.265859565542826
33,0.17250617746459554,6,22,19,199,161,31.0511119436272
49,0.17182002649173356,6,26,17,200,160,30.92760476851204
65,0.1685580978373705,6,34,10,193,167,30.340457610726688
134,0.16698446689319496,8,28,13,200,160,30.057204040775094
60,0.16695134579491477,6,30,15,199,161,30.05124224308466
147,0.16388574095056502,8,32,13,201,159,29.499433371101702
12,0.16335901059068245,6,16,15,190,170,29.40462190632284
79,0.16315860685824451,8,16,14,192,168,29.368549234484014
219,0.16259283706417893,14,16,15,190,170,29.266710671552207
160,0.16061154473796763,10,14,13,193,167,28.910078052834173
54,0.14902046396413673,6,28,14,199,161,26.823683513544612
156,0.14718394331922163,10,12,11,193,167,26.493109797459894
89,0.14705000399951396,8,20,9,190,170,26.46900071991251
190,0.14518016992687813,10,24,13,191,169,26.132430586838062
68,0.14408668934759944,6,36,10,197,163,25.9356040825679
48,0.14314130863110233,6,26,16,199,161,25.76543555359842
145,0.14043539333160265,8,32,10,200,160,25.278370799688478
67,0.13653847707578393,6,34,13,201,159,24.576925873641105
146,0.1363433431157529,8,32,11,202,158,24.541801760835526
58,0.13547286934888722,6,30,12,196,164,24.3851164827997
71,0.1343186038642732,6,40,9,197,163,24.177348695569172
13,0.13311874829616172,6,18,13,191,169,23.961374693309107
141,0.13310160733628318,8,30,12,201,159,23.958289320530973
15,0.13224435439267482,6,18,15,193,167,23.803983790681468
63,0.13165651850410998,6,32,13,200,160,23.698173330739795
216,0.1313773388164254,12,20,14,190,170,23.647920986956574
202,0.13129749457866757,10,32,11,202,158,23.633549024160164
129,0.13105418423684764,8,26,16,197,163,23.589753162632576
197,0.130190813771721,10,28,13,202,158,23.43434647890978
161,0.12772743527338262,10,16,10,190,170,22.99093834920887
70,0.12686337530478098,6,38,9,193,167,22.835407554860577
203,0.12636651877630337,10,34,10,200,160,22.745973379734608
3,0.12297189493702233,4,24,23,202,158,22.13494108866402
167,0.12287745878999304,10,18,10,193,167,22.117942582198747
73,0.1209388202705298,6,44,8,196,164,21.76898764869536
162,0.12055398529787231,10,16,11,192,168,21.699717353617018
151,0.11937905449710225,8,34,12,202,158,21.488229809478405
99,0.11363880204486808,8,20,19,192,168,20.454984368076254
150,0.11195755081232156,8,34,11,202,158,20.15235914621788
6,0.1105466340335572,4,26,22,203,157,19.898394126040298
143,0.11015810414637406,8,30,14,201,159,19.82845874634733
128,0.10618433444434877,8,26,15,198,162,19.11318019998278
50,0.10539556939376708,6,26,18,201,159,18.971202490878074
8,0.10078780050940447,4,28,21,204,156,18.141804091692805
142,0.09083176126560809,8,30,13,200,160,16.349717027809454
200,0.08798640316256834,10,30,12,200,160,15.8375525692623
199,0.08753918340922255,10,30,11,199,161,15.757053013660059
44,0.08567475398054561,6,26,12,192,168,15.42145571649821
155,0.08532785296791827,8,38,10,205,155,15.359013534225289
111,0.07881809570302123,8,24,8,191,169,14.18725722654382
53,0.07760790364257156,6,28,13,194,166,13.96942265566288
152,0.07628809013433199,8,36,10,202,158,13.731856224179758
64,0.07312733423205375,6,32,14,201,159,13.162920161769676
72,0.06966689887474938,6,40,11,205,155,12.540041797454888
43,0.06740667743462986,6,24,20,202,158,12.133201938233375
119,0.06202093701537451,8,24,16,194,166,11.163768662767412
108,0.06194188150492176,8,22,17,194,166,11.149538670885917
196,0.05944837283259183,10,28,12,196,164,10.70070710986653
36,0.0578691596761491,6,24,12,191,169,10.416448741706837
51,0.05554557339861625,6,28,11,193,167,9.998203211750925
135,0.048923781723943155,8,28,14,199,161,8.806280710309768
42,0.04807748558390565,6,24,19,198,162,8.653947405103017
4,0.04056596620286516,4,26,20,199,161,7.301873916515729
91,0.039024602567903605,8,20,11,192,168,7.024428462222649
35,0.03645980423587673,6,22,21,199,161,6.562764762457812
136,0.03339693237815939,8,28,15,199,161,6.0114478280686905
137,0.026351211331122372,8,30,8,194,166,4.743218039602027
120,0.02450235618333737,8,24,17,195,165,4.410424113000726
153,0.023674448399975834,8,36,11,203,157,4.26140071199565
109,0.015283990468862706,8,22,18,193,167,2.7511182843952873
121,0.01235919194245011,8,26,8,194,166,2.22465454964102
0,0.011907996486711592,2,8,4,174,186,2.1434393676080865
110,0.005526134603195832,8,22,19,196,164,0.9947042285752498
1,0.003910827505521899,4,20,18,190,170,0.7039489509939418
10,0.0031534862933236315,4,36,16,204,156,0.5676275327982536
66,0.0030874353334335927,6,34,12,198,162,0.5557383600180467
