,maxx,i,j,orders_long,orders_short,alpha,min
96,2.6636862599668185,52,1,0.34166476390622663,0.3205110170072904,0.8819142646510668,-8.904622840911447
102,2.6500547580314078,55,1,0.3499979444638886,0.31249821806761613,0.8778255538470814,-8.904622840911447
94,2.6570814933589326,51,1,0.34166476390622663,0.31890847858653454,0.8775984688178091,-8.904622840911447
88,2.641299120263738,48,1,0.33845968706471474,0.3253186856875055,0.8766186160002674,-8.904622840911447
100,2.6219926054174656,54,1,0.3499979444638886,0.3143921244615279,0.8710129239176212,-8.904622840911447
65,3.194849684224654,37,0,0.37496562835904107,0.16665555648139507,0.8651991356784252,-5.207979553983624
92,2.631910598268082,50,1,0.33845968706471474,0.317534872590655,0.8632595169815858,-8.904622840911447
63,3.1453631935825115,36,0,0.3541328158460206,0.18054328803617484,0.8408752688195784,-5.207979553983624
108,2.5438060334491586,58,1,0.3370350699778644,0.319442527483179,0.8349758366228051,-8.904622840911447
38,2.3264580332339135,23,1,0.327594553569345,0.3897768739503822,0.8344672601828746,-8.765429900548519
104,2.5443193807890863,56,1,0.3370350699778644,0.3143921244615279,0.8287194179926032,-8.904622840911447
68,2.4229832990436173,38,1,0.36028550152732913,0.32043681950760405,0.8246894075769253,-8.904622840911447
84,2.4447837511377593,46,1,0.3368313360386083,0.3224049234012022,0.8058450476196425,-8.904622840911447
86,2.4493613717219587,47,1,0.3368313360386083,0.3205110170072904,0.8050344837737212,-8.904622840911447
72,2.3827684268222025,40,1,0.3537268455597941,0.3190768995906724,0.8015677606961316,-8.904622840911447
40,2.195231259815665,24,1,0.327594553569345,0.38737304705800796,0.7847596133262837,-8.765429900548519
71,3.287478098474782,40,0,0.2916395859372448,0.18054328803617484,0.7761454283312476,-5.207979553983624
70,2.3034086397957085,39,1,0.3537268455597941,0.31631958010237055,0.7716953629672315,-8.904622840911447
73,3.115358484452512,41,0,0.2916395859372448,0.19443101959095463,0.7571420924876231,-5.207979553983624
67,3.1595427930490403,38,0,0.2916395859372448,0.18054328803617484,0.7459409982319506,-5.207979553983624
