,maxx,i,j,q,orders_long,orders_short,alpha
2156,4.666804428309188,16,34,12,5,1,14.000413284927564
3463,5.593274783507593,28,38,1,2,3,13.983186958768982
38,1.1641711143056386,2,24,1,17,7,13.970053371667664
3520,5.586427054924761,29,38,1,2,3,13.966067637311903
815,3.472853080602323,7,26,5,6,2,13.891412322409291
3405,4.628564879986973,27,38,5,3,3,13.885694639960919
3404,4.627262710700787,27,38,4,3,3,13.881788132102361
1732,6.939931159074364,13,32,7,3,1,13.879862318148728
2419,3.9542475423823165,18,34,2,5,2,13.839866398338108
2958,4.613287928530605,22,36,7,3,3,13.839863785591815
1719,3.945984296604403,13,30,12,5,2,13.81094503811541
3326,5.477504279332655,26,36,10,2,3,13.693760698331639
3472,5.44202299010752,28,38,10,2,3,13.6050574752688
787,2.266585801711915,6,38,11,9,3,13.59951481027149
1620,4.530702065183711,12,34,6,4,2,13.592106195551132
3529,5.434676308988026,29,38,10,2,3,13.586690772470064
1767,5.422143912922126,13,36,12,3,2,13.555359782305313
498,2.4542516256259397,5,24,6,7,4,13.498383940942668
1735,6.693763492967797,13,32,10,3,1,13.387526985935594
430,2.056224714077481,4,32,9,9,4,13.365460641503626
1434,2.960962244177822,11,28,2,6,3,13.324330098800198
1319,5.2961844123379365,10,30,4,4,1,13.240461030844841
2959,4.4009010047726145,22,36,8,3,3,13.202703014317844
2707,3.763570045454396,20,36,11,5,2,13.172495159090385
1436,2.9271022972828558,11,28,4,6,3,13.171960337772852
447,1.7560733049381438,4,34,7,10,5,13.170549787036078
3260,5.26474104963108,25,38,11,3,2,13.1618526240777
1185,3.2903431787580506,9,32,14,7,1,13.161372715032202
1157,3.759257513501942,9,28,19,4,3,13.157401297256797
59,1.1270394406097268,2,26,3,16,7,12.960953567011858
958,4.313708621517799,8,24,11,4,2,12.941125864553397
1037,2.8744811013981297,8,32,18,7,2,12.935164956291583
812,3.22806428523514,7,26,2,6,2,12.91225714094056
1870,6.3679561604625485,14,32,7,3,1,12.735912320925097
1885,3.638573046397219,14,34,5,6,1,12.735005662390266
2124,6.30874793948147,16,30,16,2,2,12.61749587896294
2299,3.1336941457280734,17,36,13,6,2,12.534776582912293
1622,4.165644347324272,12,34,8,4,2,12.496933041972817
2129,3.561874316971694,16,32,2,4,3,12.46656010940093
2446,6.232318216867352,18,38,1,2,2,12.464636433734704
2449,6.191790620038778,18,38,4,2,2,12.383581240077556
495,2.2285838479229243,5,24,3,7,4,12.257211163576084
1320,4.9014155003394855,10,30,5,4,1,12.253538750848714
1873,6.121788494355982,14,32,10,3,1,12.243576988711965
2256,4.073504177386851,17,32,2,3,3,12.220512532160551
1980,4.042502201889148,15,30,3,4,2,12.127506605667444
57,1.0520397689876553,2,26,1,16,7,12.098457343358035
2952,3.969012932605037,22,36,1,3,3,11.907038797815112
3162,4.760539119028481,24,36,7,3,2,11.901347797571201
1888,3.3952012142605215,14,34,8,6,1,11.883204249911826
3339,4.74254432996381,26,38,10,3,2,11.856360824909524
1334,3.946846993572551,10,32,2,5,1,11.840540980717654
2128,3.368242417170174,16,32,1,4,3,11.78884846009561
2450,5.863066779095917,18,38,5,2,2,11.726133558191833
289,1.5582985238213913,3,32,16,11,4,11.687238928660435
648,3.3369163131824933,6,24,5,5,2,11.679207096138727
771,2.3272234674695276,6,36,14,7,3,11.636117337347638
1326,4.633673826097396,10,30,11,4,1,11.58418456524349
2403,3.854120804987171,18,32,2,4,2,11.562362414961513
797,3.30226708047774,7,24,5,5,2,11.55793478167209
985,2.8866958105940923,8,26,19,5,3,11.54678324237637
2169,2.8358254845688435,16,36,10,6,2,11.343301938275374
2295,2.8338299148937227,17,36,9,6,2,11.33531965957489
3163,4.526387217030709,24,36,8,3,2,11.315968042576772
2698,3.227437517963319,20,36,1,5,2,11.296031312871616
336,1.8792303560722707,4,22,10,8,4,11.275382136433624
2537,4.509480499934093,19,32,5,3,2,11.273701249835232
3064,3.728977698372142,23,36,7,3,3,11.186933095116427
2390,11.03233952641402,18,30,7,1,1,11.03233952641402
497,1.9956011862051926,5,24,5,7,4,10.97580652412856
2014,3.628670304788526,15,34,1,5,1,10.886010914365578
640,3.620473541391956,6,22,14,5,1,10.861420624175869
3453,7.207379501381192,28,36,3,1,2,10.811069252071789
324,2.157651391752088,4,20,12,7,3,10.78825695876044
616,1.795600327461605,5,36,14,9,3,10.77360196476963
1756,4.271621105704486,13,36,1,3,2,10.679052764261215
3388,5.284764303686307,27,36,1,2,2,10.569528607372614
2443,2.632277377706861,18,36,11,6,2,10.529109510827444
3065,3.4961561763789604,23,36,8,3,3,10.488468529136881
1017,2.9872711483188796,8,30,16,6,1,10.45544901911608
638,3.4686737386300703,6,22,12,5,1,10.406021215890211
3318,4.143077917119648,26,36,2,2,3,10.35769479279912
1757,4.131008594991746,13,36,2,3,2,10.327521487479366
2538,4.130649373937699,19,32,6,3,2,10.326623434844247
1171,3.4036961246617876,9,30,17,5,1,10.211088373985362
1842,5.048347384721203,14,28,17,3,1,10.096694769442406
1997,3.360173473374407,15,32,1,4,2,10.080520420123221
3173,3.996126936258025,24,38,5,3,2,9.990317340645063
2253,6.556049837472597,17,30,18,2,1,9.834074756208896
2543,3.8964974719399263,19,32,11,3,2,9.741243679849816
3478,4.851505246519221,29,28,8,4,0,9.703010493038443
1139,2.749474785794619,9,28,1,4,3,9.623161750281167
472,2.7481081310828444,5,20,14,6,1,9.618378458789955
1182,2.3847291863893414,9,32,11,7,1,9.538916745557366
651,2.724389894219237,6,24,8,5,2,9.53536462976733
1143,2.723086613067481,9,28,5,4,3,9.530803145736185
481,2.1047834466786965,5,22,8,7,2,9.471525510054134
160,1.182872905586954,3,20,1,10,6,9.462983244695632
1581,3.1478642254690397,12,30,1,4,2,9.44359267640712
799,2.6918377764056305,7,24,7,5,2,9.421432217419706
1262,9.404744459727961,10,22,7,1,1,9.404744459727961
3174,3.7560609238123863,24,38,6,3,2,9.390152309530965
3407,3.118287077531394,27,38,7,3,3,9.354861232594182
2684,2.670726253386756,20,34,2,4,3,9.347541886853646
3401,3.1155831456704206,27,38,1,3,3,9.346749437011262
1265,9.30713755917707,10,22,10,1,1,9.30713755917707
320,1.847413363653668,4,20,8,7,3,9.23706681826834
3051,3.690262900399936,23,34,2,3,2,9.22565725099984
3328,3.686216866959635,26,36,12,2,3,9.215542167399088
1288,2.5728639376329623,10,26,8,5,2,9.005023781715368
641,2.9966712269173197,6,22,15,5,1,8.990013680751959
3058,2.9960564374078724,23,36,1,3,3,8.988169312223617
646,2.5631187090152525,6,24,3,5,2,8.970915481553384
2825,2.9889496453770765,21,34,11,4,2,8.96684893613123
1274,8.943551854625007,10,22,19,1,1,8.943551854625007
2818,2.9705638094876674,21,34,3,4,2,8.911691428463001
3175,3.5568290561491156,24,38,7,3,2,8.892072640372788
1136,2.2174667880369974,9,26,17,6,2,8.86986715214799
76,0.7086780517432149,2,28,1,16,9,8.858475646790186
2230,8.85721120998074,17,24,13,2,0,8.85721120998074
163,1.1050038897068137,3,20,4,10,6,8.84003111765451
3052,3.529691298646492,23,34,3,3,2,8.82422824661623
643,2.9388035679076228,6,22,17,5,1,8.816410703722868
1653,8.715343933638858,13,20,3,2,0,8.715343933638858
1183,2.1761247538892157,9,32,12,7,1,8.704499015556863
2444,2.1593273647040223,18,36,12,6,2,8.63730945881609
2550,2.868057500635902,19,34,1,4,2,8.604172501907705
2565,2.1457759522864173,19,36,1,6,2,8.583103809145669
1563,4.251115538996991,12,26,19,3,1,8.502231077993981
647,2.419615663094221,6,24,4,5,2,8.468654820829775
74,0.7269088304135749,2,26,18,16,7,8.35945154975611
796,2.384966430389468,7,24,4,5,2,8.347382506363138
2551,2.7697615572273224,19,34,2,4,2,8.309284671681967
2250,5.533982776053675,17,30,15,2,1,8.300974164080511
622,1.2764521736220007,5,38,5,9,4,8.296939128543004
2196,5.529712456750126,17,20,17,3,0,8.294568685125189
161,1.0275511181972652,3,20,2,10,6,8.220408945578122
2184,5.395865645465631,17,20,5,3,0,8.093798468198447
2820,2.686440441372478,21,34,5,4,2,8.059321324117434
3156,3.1961303551963423,24,36,1,3,2,7.990325887990855
1881,2.282243300872902,14,34,1,6,1,7.987851553055156
1137,1.9743499083424745,9,26,18,6,2,7.897399633369898
56,0.6549059525132388,2,24,19,17,7,7.858871430158866
1186,1.9298523698283214,9,32,15,7,1,7.719409479313286
3254,3.079926771725164,25,38,5,3,2,7.69981692931291
914,1.9069088327632808,7,36,12,5,3,7.627635331053123
1708,2.1782393598114975,13,30,1,5,2,7.623837759340241
2824,2.5108265002761523,21,34,9,4,2,7.532479500828456
1092,5.013513856399849,9,20,9,2,1,7.520270784599774
2213,7.451249126486157,17,22,15,2,0,7.451249126486157
3020,14.79151046094183,23,30,6,1,0,7.395755230470915
1096,4.922692670611497,9,20,13,2,1,7.384039005917245
1657,7.378688189355214,13,20,7,2,0,7.378688189355214
3393,3.6878385509227605,27,36,6,2,2,7.375677101845521
1780,7.312770731333769,14,20,3,2,0,7.312770731333769
1897,2.430233513047926,14,36,2,4,2,7.290700539143778
1661,7.2900211416415335,13,20,11,2,0,7.2900211416415335
2758,4.811095466254458,21,26,10,3,0,7.2166431993816875
332,1.1986904975107835,4,22,6,8,4,7.1921429850647005
2275,2.045278195634092,17,34,4,5,2,7.158473684719323
3255,2.8398607592795253,25,38,6,3,2,7.099651898198813
3489,4.731941872984495,29,30,6,3,0,7.0979128094767425
473,2.0211456406019233,5,20,15,6,1,7.074009742106732
1896,2.350582265581583,14,36,1,4,2,7.05174679674475
1327,2.7846390422376044,10,30,12,4,1,6.961597605594011
1668,6.959736388908089,13,20,18,2,0,6.959736388908089
476,1.9763157163949934,5,20,18,6,1,6.917105007382477
1460,2.7643752387700027,11,30,12,4,1,6.9109380969250065
1541,4.5843837535499,12,22,17,2,1,6.876575630324849
665,1.9589376890150259,6,26,3,5,2,6.856281911552591
1289,1.9490616231583262,10,26,9,5,2,6.821715681054142
3270,6.78369730204631,26,26,10,2,0,6.78369730204631
3476,3.3909747631722076,29,28,6,4,0,6.781949526344415
1003,2.245666494734702,8,28,18,4,2,6.736999484204106
2029,2.245122873780664,15,36,1,4,2,6.735368621341992
1084,1.4963460405691436,8,38,12,6,3,6.733557182561146
3334,2.688513632693684,26,38,5,3,2,6.72128408173421
3333,2.686560379089134,26,38,4,3,2,6.716400947722835
897,1.2068759218197083,7,34,14,7,4,6.637817570008395
3256,2.640628891616254,25,38,7,3,2,6.601572229040635
3015,13.066308493704879,23,30,1,1,0,6.5331542468524395
1328,2.6000132773105706,10,30,13,4,1,6.500033193276426
474,1.8498158765539432,5,20,16,6,1,6.474355567938801
3511,6.432614337953396,29,36,3,1,1,6.432614337953396
931,1.4215263465709422,7,38,12,6,3,6.39686855956924
2186,4.13477772039461,17,20,7,3,0,6.202166580591916
1295,1.743677220900644,10,26,15,5,2,6.102870273152254
2161,1.5248352113136532,16,36,2,6,2,6.099340845254613
2189,4.0511234633418045,17,20,10,3,0,6.076685195012707
1784,6.0080446020074705,14,20,7,2,0,6.0080446020074705
3498,11.931678179356178,29,32,4,1,0,5.965839089678089
2421,1.7020931508231227,18,34,4,5,2,5.95732602788093
2710,2.36906561642684,20,38,1,3,2,5.922664041067101
1787,5.92149560503723,14,20,10,2,0,5.92149560503723
2082,11.782400376875682,16,24,1,1,0,5.891200188437841
2534,2.33888798697698,19,32,2,3,2,5.84721996744245
73,0.5054208013054695,2,26,17,16,7,5.8123392150129
2881,3.8737872547630148,22,26,10,3,0,5.810680882144522
3075,1.933828737866309,23,38,5,4,2,5.801486213598928
668,1.6406963100533911,6,26,6,5,2,5.742437085186869
2969,1.8938034012437266,22,38,5,4,2,5.68141020373118
2837,2.2713443510956375,21,36,8,3,2,5.6783608777390935
3336,2.2551298630326393,26,38,7,3,2,5.637824657581598
2773,5.61250456811324,21,28,8,2,0,5.61250456811324
1795,5.599100591323097,14,20,18,2,0,5.599100591323097
2276,1.599061493374694,17,34,5,5,2,5.596715226811429
2633,5.5723572289321215,20,28,1,2,0,5.5723572289321215
1385,1.2294097024175499,10,38,11,6,3,5.532343660878975
2634,5.523553754315815,20,28,2,2,0,5.523553754315815
1394,3.619517254827404,11,20,10,2,1,5.4292758822411065
3263,5.357262025341856,26,26,3,2,0,5.357262025341856
478,1.1874827965904242,5,22,5,7,2,5.343672584656909
1396,3.530850207113725,11,20,12,2,1,5.2962753106705875
2581,2.644078897872335,19,38,6,2,2,5.28815779574467
2700,1.5082039593021532,20,36,3,5,2,5.278713857557536
3265,5.271718680412051,26,26,5,2,0,5.271718680412051
2640,5.203452930416248,20,28,8,2,0,5.203452930416248
2084,10.375923581629793,16,24,3,1,0,5.187961790814897
2087,10.282624955079482,16,24,6,1,0,5.141312477539741
2749,3.410752459607127,21,26,1,3,0,5.11612868941069
3050,2.045468301385764,23,34,1,3,2,5.11367075346441
477,1.4564804370481688,5,20,19,6,1,5.0976815296685904
3021,10.191785272481207,23,30,7,1,0,5.095892636240603
967,1.271345822262311,8,26,1,5,3,5.085383289049244
2752,3.3516410846373508,21,26,4,3,0,5.027461626956026
2094,9.93508757117958,16,24,13,1,0,4.96754378558979
2244,3.2832504875530346,17,28,9,2,1,4.924875731329552
3485,3.2745951137853586,29,30,2,3,0,4.9118926706780375
2939,1.6235158131884149,22,34,3,4,2,4.870547439565245
1726,2.417393557219518,13,32,1,3,1,4.834787114439036
1532,3.2005654543802797,12,20,19,2,1,4.800848181570419
2848,1.5960345197456056,21,38,6,4,2,4.788103559236816
2111,2.362294228253998,16,30,3,2,2,4.724588456507996
2533,1.8869443016702847,19,32,1,3,2,4.717360754175711
2970,1.571106702242892,22,38,6,4,2,4.713320106728676
2714,1.8823220330750587,20,38,5,3,2,4.705805082687647
1669,4.67877658647381,13,20,19,2,0,4.67877658647381
2279,1.3073212474416882,17,34,8,5,2,4.575624366045909
3452,3.049264532487142,28,36,2,1,2,4.573896798730713
1901,1.5150074428579567,14,36,12,4,2,4.54502232857387
1900,1.513011873182836,14,36,11,4,2,4.539035619548508
1845,1.1343121374001417,14,30,1,5,3,4.537248549600567
754,0.9014470302134259,6,34,16,7,3,4.507235151067129
1002,1.4775965899903813,8,28,17,4,2,4.432789769971144
2422,1.2558764485637246,18,34,5,5,2,4.395567569973036
2372,4.32527285478456,18,26,11,2,0,4.32527285478456
663,1.2276273645501905,6,26,1,5,2,4.2966957759256665
2425,1.2238561776686383,18,34,8,5,2,4.283496621840234
2047,4.2711099793861145,16,20,4,2,0,4.2711099793861145
2704,1.2164637133691474,20,36,7,5,2,4.257622996792016
3169,1.6850511159179224,24,38,1,3,2,4.212627789794806
2766,4.178360627359677,21,28,1,2,0,4.178360627359677
2767,4.131711290818042,21,28,2,2,0,4.131711290818042
283,0.5316621421441908,3,32,10,11,4,3.9874660660814314
3399,1.9871405012508558,27,36,12,2,2,3.9742810025017117
1122,0.991610308164327,9,26,3,6,2,3.966441232657308
2035,1.3114593359959743,15,36,13,4,2,3.934378007987923
2255,1.3014270705970152,17,32,1,3,3,3.9042812117910457
3451,2.597320847180447,28,36,1,1,2,3.8959812707706707
2692,1.1059313839160352,20,34,10,4,3,3.8707598437061232
284,0.5139524377782488,3,32,11,11,4,3.8546432833368662
1126,0.9578662880223132,9,26,7,6,2,3.831465152089253
1651,3.8183298301809665,13,20,1,2,0,3.8183298301809665
315,0.47698969483483133,3,38,6,10,6,3.8159175586786507
439,0.5843436184852335,4,32,18,9,4,3.798233520154018
664,1.0841243186291596,6,26,2,5,2,3.7944351152020586
2095,7.534980403172925,16,24,14,1,0,3.7674902015864626
317,0.46861078305478865,3,38,8,10,6,3.748886264438309
2872,2.496989916128068,22,26,1,3,0,3.745484874192102
2323,3.7346873244823513,18,20,17,2,0,3.7346873244823513
1219,0.8270635677122162,9,36,13,6,3,3.721786054704973
986,1.2358837670273792,8,28,1,4,2,3.7076513010821377
318,0.4595430084905829,3,38,9,10,6,3.676344067924663
2875,2.4392905752220044,22,26,4,3,0,3.6589358628330064
1864,1.8181032568537536,14,32,1,3,1,3.6362065137075072
493,0.6565185314794865,5,24,1,7,4,3.6108519231371754
2311,3.6051671982109657,18,20,5,2,0,3.6051671982109657
2559,1.1933548357900583,19,34,10,4,2,3.580064507370175
297,0.3953830307134414,3,34,8,11,7,3.5584472764209725
298,0.3852631985656253,3,34,9,11,7,3.467368787090628
3317,1.3710008103298108,26,36,1,2,3,3.427502025824527
2426,0.9641362026307193,18,34,9,5,2,3.3744767092075176
1796,3.372627644263774,14,20,19,2,0,3.372627644263774
1542,2.2480087491446663,12,22,18,2,1,3.3720131237169992
2115,1.6122546907852247,16,30,7,2,2,3.2245093815704493
1016,0.9210093507014621,8,30,15,6,1,3.223532727455117
1844,1.5437855210814664,14,28,19,3,1,3.0875710421629328
2050,3.0356273351634266,16,20,7,2,0,3.0356273351634266
2240,1.9960187742243534,17,26,11,2,1,2.99402816133653
2641,2.992823750599809,20,28,9,2,0,2.992823750599809
2053,2.953671604203379,16,20,10,2,0,2.953671604203379
2362,2.925404027819912,18,26,1,2,0,2.925404027819912
2365,2.8787546912782767,18,26,4,2,0,2.8787546912782767
945,1.4201498989494015,8,20,14,3,1,2.840299797898803
2248,1.8818838841463583,17,30,7,2,1,2.8228258262195376
273,0.3527529448961675,3,30,19,12,4,2.82202355916934
3271,2.752467172229365,26,26,11,2,0,2.752467172229365
2907,2.716113736367387,22,30,6,1,1,2.716113736367387
