,maxx,i,j,q,orders_long,orders_short,alpha
7875,23.4834041231559,25,34,10,5,5,117.4170206157795
7905,29.346063208183264,25,36,2,3,5,117.38425283273305
3589,19.56059674735891,14,28,18,5,7,117.36358048415346
4543,26.077028601637174,16,39,3,3,6,117.34662870736729
7877,23.465166274720506,25,34,12,5,5,117.32583137360253
1019,12.34484271242087,7,33,13,9,10,117.27600576799827
8255,21.31534878578047,26,34,10,4,7,117.23441832179257
5195,23.43972392658521,18,33,9,5,5,117.19861963292604
2162,14.643124051013507,10,33,16,7,9,117.14499240810805
7878,23.38622392036746,25,34,13,5,5,116.9311196018373
3949,23.376016915403696,15,27,17,4,6,116.88008457701848
6676,25.971734226685307,22,31,8,6,3,116.87280402008388
8285,29.170073474726188,26,36,2,3,5,116.68029389890475
3913,25.920177383219745,15,25,19,3,6,116.64079822448885
5268,21.19325710172654,18,37,6,6,5,116.56291405949598
4725,25.878339302337977,17,28,14,4,5,116.45252686052089
7476,21.16636570050814,24,33,10,4,7,116.41501135279478
8286,29.041840999369295,26,36,3,3,5,116.16736399747718
5953,19.328507742081072,20,33,7,5,7,115.97104645248643
5286,23.16996398610607,18,38,5,5,5,115.84981993053034
4310,25.736660742549116,16,26,17,4,5,115.81497334147102
4311,25.730352633695396,16,26,18,4,5,115.78658685162928
7893,23.134886018379046,25,35,9,4,6,115.67443009189523
4345,28.911147632409456,16,28,14,3,5,115.64459052963782
7895,23.114709894857878,25,35,11,4,6,115.5735494742894
4475,21.011397253199064,16,35,11,5,6,115.56268489259486
4728,25.618475459172757,17,28,17,4,5,115.28313956627741
7896,23.048924597376296,25,35,12,4,6,115.24462298688148
5231,23.028711287261668,18,35,7,6,4,115.14355643630834
3242,16.39058960152693,13,30,13,7,7,114.73412721068851
4454,22.87756336689078,16,34,9,5,5,114.3878168344539
4455,22.87122545034306,16,34,10,5,5,114.35612725171531
7514,20.79187069683653,24,35,10,3,8,114.3552888326009
4474,20.777566344328907,16,35,10,5,6,114.27661489380898
7516,20.73473800753236,24,35,12,3,8,114.04105904142799
6674,25.299712512167048,22,31,6,6,3,113.84870630475172
4780,20.690201558805427,17,31,12,6,5,113.79610857342985
2231,13.386770879598881,10,37,9,6,11,113.78755247659049
7886,22.754008919849095,25,35,2,4,6,113.77004459924548
6277,25.278112439273613,21,30,8,6,3,113.75150597673127
6656,37.91482085497496,22,30,7,5,1,113.74446256492489
7879,22.67117024359991,25,34,14,5,5,113.35585121799954
7496,22.66651097725442,24,34,11,4,6,113.33255488627209
7071,20.60364423563588,23,32,4,6,5,113.32004329599734
8258,20.601422534897228,26,34,13,4,7,113.30782394193476
6295,25.1762060068623,21,31,7,6,3,113.29292703088035
2213,15.09352385971302,10,36,10,6,9,113.20142894784765
4291,25.070405471608776,16,25,17,4,5,112.8168246222395
4525,25.03999730994686,16,38,4,3,6,112.67998789476087
660,8.339225991018242,6,34,15,13,14,112.57955087874628
4094,18.749894236054736,15,35,10,7,5,112.49936541632842
7524,24.979786847579792,24,36,1,3,6,112.40904081410906
7518,20.437443757258993,24,35,14,3,8,112.40594066492446
5898,24.90540769388315,20,30,9,6,3,112.07433462247417
7897,22.40488755193603,25,35,13,4,6,112.02443775968015
7128,31.95969607234962,23,35,4,2,5,111.85893625322366
7500,22.371532529118333,24,34,15,4,6,111.85766264559166
7872,22.370773435372314,25,34,7,5,5,111.85386717686157
6007,22.37009805592131,20,36,4,4,6,111.85049027960656
7099,18.61823454281305,23,33,13,6,6,111.7094072568783
2144,13.942700048517493,10,32,17,8,8,111.54160038813994
5970,20.263457609972317,20,34,5,3,8,111.44901685484774
3584,18.563977688677248,14,28,13,5,7,111.38386613206349
7075,20.240995399167634,23,32,8,6,5,111.32547469542199
2177,15.894709269523991,10,34,12,5,9,111.26296488666794
8274,24.717726270091152,26,35,10,3,6,111.22976821541019
696,8.23577590080749,6,36,13,14,13,111.18297466090111
8273,24.700488985803972,26,35,9,3,6,111.15220043611788
6730,27.766703946257692,22,34,5,3,5,111.06681578503077
4779,20.185465872707976,17,31,11,6,5,111.02006229989387
4456,22.16563976144376,16,34,11,5,5,110.8281988072188
6313,22.154762538500105,21,32,6,7,3,110.77381269250053
4782,20.135769923119852,17,31,14,6,5,110.74673457715919
678,7.901820137054847,6,35,14,14,14,110.62548191876786
7472,20.043322199173534,24,33,6,4,7,110.23827209545443
8254,20.034667334912147,26,34,9,4,7,110.1906703420168
7474,20.031194299591082,24,33,8,4,7,110.17156864775095
7890,22.027214532210305,25,35,6,4,6,110.13607266105153
7512,19.97512181882948,24,35,8,3,8,109.86317000356213
4923,18.29743803605302,17,39,3,6,6,109.78462821631811
6349,21.9471463465105,21,34,4,4,6,109.7357317325525
4095,18.28311100818495,15,35,11,7,5,109.6986660491097
5523,24.369599973898275,19,30,14,4,5,109.66319988254224
4870,18.264915019141455,17,36,7,5,7,109.58949011484873
7871,21.910909984758252,25,34,6,5,5,109.55454992379126
1037,9.125329016411902,7,34,12,12,12,109.50394819694282
8231,24.332585669489966,26,33,5,4,5,109.49663551270484
4058,18.22411370007267,15,33,12,6,6,109.34468220043603
8232,24.193468642780974,26,33,6,4,5,108.87060889251438
4872,18.118622846220994,17,36,9,5,7,108.71173707732596
7126,30.98211032156358,23,35,2,2,5,108.43738612547253
7513,19.677738846297526,24,35,9,3,8,108.2275636546364
5522,24.018141146133097,19,30,13,4,5,108.08163515759894
2126,12.00809414286102,10,31,18,9,9,108.07284728574919
2160,13.508089393012085,10,33,14,7,9,108.06471514409668
4059,17.988958550670326,15,33,13,6,6,107.93375130402195
6728,26.97383211581882,22,34,3,3,5,107.89532846327528
5574,21.572665696004943,19,33,8,5,5,107.86332848002472
7494,21.561057763851245,24,34,9,4,6,107.80528881925622
5525,23.94713764572899,19,30,16,4,5,107.76211940578045
10493,21.527348986041535,32,38,6,4,6,107.63674493020767
4924,17.9380094991822,17,39,4,6,6,107.6280569950932
1055,8.966094613481538,7,35,11,12,12,107.59313536177845
4869,17.92511130569654,17,36,6,5,7,107.55066783417924
6766,30.65166906496507,22,36,3,2,5,107.28084172737775
5524,23.832990341762635,19,30,15,4,5,107.24845653793186
8276,23.830194941689182,26,35,12,3,6,107.23587723760131
6748,26.807310584842924,22,35,4,2,6,107.2292423393717
7832,23.82062534046603,25,32,5,4,5,107.19281403209713
5592,19.473682201963005,19,34,7,6,5,107.10525211079653
7889,21.385143346000252,25,35,5,4,6,106.92571673000126
5285,21.382874245864425,18,38,4,5,5,106.91437122932213
6025,19.406328649990883,20,37,3,5,6,106.73480757494985
5267,19.4061673614849,18,37,5,6,5,106.73392048816696
7101,17.77984848984598,23,33,15,6,6,106.67909093907588
4926,17.765301202309363,17,39,6,6,6,106.59180721385619
5527,23.669411439173288,19,30,18,4,5,106.5123514762798
7543,30.374039779581853,24,37,1,1,6,106.30913922853648
10491,21.20209400843996,32,38,4,4,6,106.0104700421998
7097,17.635918049172762,23,33,11,6,6,105.81550829503658
3243,15.10977361121231,13,30,14,7,7,105.76841527848617
10494,21.14781098033841,32,38,7,4,6,105.73905490169204
5191,21.14025934341632,18,33,5,5,5,105.7012967170816
8272,23.48853358742535,26,35,8,3,6,105.69840114341409
8615,23.431722413977308,27,35,9,2,7,105.44275086289788
5556,26.352440395591447,19,32,9,4,4,105.40976158236579
7508,19.08007899773707,24,35,4,3,8,104.94043448755387
6765,29.890359403724776,22,36,2,2,5,104.61625791303672
5484,23.226423764853642,19,28,13,4,5,104.5189069418414
4021,23.221406990911913,15,31,13,5,4,104.4963314591036
5182,17.414815381698325,18,32,15,6,6,104.48889229018995
3583,17.40733931153531,14,28,12,5,7,104.44403586921186
1492,9.487894448008175,8,38,11,9,13,104.36683892808993
7509,18.956535661036604,24,35,5,3,8,104.26094613570132
7510,18.948123618693895,24,35,6,3,8,104.21467990281643
8253,18.94288690704364,26,34,8,4,7,104.18587798874002
6747,26.004397463959982,22,35,3,2,6,104.01758985583993
2212,13.858412982531442,10,36,9,6,9,103.93809736898582
3244,14.823958791128636,13,30,15,7,7,103.76771153790045
5665,23.054094712709333,19,38,4,3,6,103.743426207192
5179,17.287075865460217,18,32,12,6,6,103.7224551927613
5183,17.273135650998146,18,32,16,6,6,103.63881390598888
7182,29.596853670835443,23,38,1,1,6,103.58898784792405
6367,18.83329757918966,21,35,3,4,7,103.58313668554314
5978,18.83129065706613,20,34,13,3,8,103.57209861386372
7870,20.713186426752404,25,34,5,5,5,103.56593213376202
6764,29.549111638556326,22,36,1,2,5,103.42189073494714
2230,12.166224295956967,10,37,8,6,11,103.41290651563422
4852,14.773235780507129,17,35,8,6,8,103.41265046354991
4073,22.970061198173727,15,34,8,5,4,103.36527539178178
2252,12.159585166609146,10,38,11,7,10,103.35647391617773
8617,22.93307262934331,27,35,11,2,7,103.1988268320449
2198,14.731493742674054,10,35,14,6,8,103.12045619871839
4037,20.60407188521158,15,32,10,4,6,103.02035942605791
6746,25.720024316864144,22,35,2,2,6,102.88009726745658
5164,18.679408980935413,18,31,16,6,5,102.73674939514477
6061,22.817843049895032,20,39,1,4,5,102.68029372452764
7490,20.518445557914998,24,34,5,4,6,102.59222778957499
7492,20.50718624683577,24,34,7,4,6,102.53593123417885
4854,14.645230126921613,17,35,10,6,8,102.51661088845128
4072,22.766486833251566,15,34,7,5,4,102.44919074963205
4036,20.46835563064866,15,32,9,4,6,102.3417781532433
5988,20.46091503929521,20,35,4,3,7,102.30457519647604
5924,20.434288830731596,20,31,16,5,5,102.17144415365797
5161,18.57647073663003,18,31,13,6,5,102.17058905146516
8291,25.526432814182275,26,36,8,3,5,102.1057312567291
5541,22.683766835619398,19,31,13,5,4,102.07695076028729
10096,22.67320236553961,31,37,8,4,5,102.02941064492825
3602,13.597889743158682,14,29,12,6,9,101.98417307369012
7888,20.38704034780825,25,35,4,4,6,101.93520173904125
8292,25.464408625962736,26,36,9,3,5,101.85763450385095
5466,22.628499830857763,19,27,14,4,5,101.82824923885994
4514,16.97127578063667,16,37,12,5,7,101.82765468382001
5165,18.50939330974825,18,31,17,6,5,101.80166320361538
5254,18.44727463026524,18,36,11,6,5,101.46001046645883
10095,22.530172019745404,31,37,7,4,5,101.38577408885432
10093,22.518790035459606,31,37,5,4,5,101.33455515956823
6285,22.50372819165,21,30,16,6,3,101.266776862425
6414,22.49931285037751,21,37,12,4,5,101.2469078266988
4364,25.287023948024434,16,29,14,3,5,101.14809579209773
4365,25.280715839170714,16,29,15,3,5,101.12286335668286
7911,25.272670752570097,25,36,8,3,5,101.09068301028039
6682,22.462086108347286,22,31,14,6,3,101.07938748756278
6694,22.451063477518506,22,32,7,4,5,101.02978564883328
7913,25.254458111797636,25,36,10,3,5,101.01783244719054
2176,14.43017851566139,10,34,11,5,9,101.01124960962973
7532,22.436511177612147,24,36,9,3,6,100.96430029925466
7146,33.645534433694415,23,36,3,1,5,100.93660330108324
6303,22.40962162725639,21,31,15,6,3,100.84329732265375
7914,25.17551575744459,25,36,11,3,5,100.70206302977836
5251,18.30457795986736,18,36,8,6,5,100.67517877927048
5123,25.165884978074132,18,29,13,4,4,100.66353991229653
7534,22.360334261706043,24,36,11,3,6,100.6215041776772
8612,22.359781623436174,27,35,6,2,7,100.61901730546278
8271,22.3511661895004,26,35,7,3,6,100.5802478527518
5255,18.27725895907808,18,36,12,6,5,100.52492427492943
4851,14.346150227184623,17,35,7,6,8,100.42305159029236
8614,22.302419860055725,27,35,8,2,7,100.36088937025076
5304,22.289014401073686,18,39,4,4,5,100.3005648048316
2159,12.52317455264389,10,33,13,7,9,100.18539642115113
5916,20.0369219337463,20,31,8,5,5,100.1846096687315
5540,22.24444332282432,19,31,12,5,4,100.09999495270944
6287,22.23615216451759,21,30,18,6,3,100.06268474032916
4435,25.015208488222797,16,33,9,4,4,100.06083395289119
6684,22.234357819706542,22,31,16,6,3,100.05461018867943
3245,14.272912190354276,13,30,16,7,7,99.91038533247993
5934,19.95793408447636,20,32,7,4,6,99.7896704223818
3968,22.17346344498175,15,28,17,4,5,99.78058550241786
5543,22.155688951745834,19,31,15,5,4,99.70060028285626
10490,19.940103053100426,32,38,3,4,6,99.70051526550213
6305,22.14204560012398,21,31,17,6,3,99.63920520055791
3581,16.60459244968525,14,28,10,5,7,99.6275546981115
7144,33.19604740431438,23,36,1,1,5,99.58814221294313
5628,22.105426982260624,19,36,5,3,6,99.4744214201728
2142,12.425449386269294,10,32,15,8,8,99.40359509015435
3580,16.56244746811639,14,28,9,5,7,99.37468480869833
3931,19.8736890491027,15,26,18,4,6,99.3684452455135
6385,19.861111063675217,21,36,2,4,6,99.3055553183761
7135,28.37174613604894,23,35,11,2,5,99.30111147617129
7536,22.063040011432676,24,36,13,3,6,99.28368005144705
2108,11.67558869860219,10,30,19,8,9,99.24250393811862
8975,19.840160043679266,28,35,8,4,6,99.20080021839632
5542,22.013004828904304,19,31,14,5,4,99.05852173006937
6377,17.973312468466254,21,35,13,4,7,98.8532185765644
4893,16.468154342525736,17,37,11,5,7,98.80892605515442
4891,16.451021437632985,17,37,9,5,7,98.7061286257979
5975,17.94241418312103,20,34,10,3,8,98.68327800716567
3241,14.095420316169724,13,30,12,7,7,98.66794221318807
3587,16.418532696385004,14,28,16,5,7,98.51119617831003
