,maxx,i,j,z1,z2,orders_long,orders_short,alpha
2767,1.5276481580681023,0.25,0.3,0.005,0.01,21,62,63.39739855982624
5761,15.841849844020508,0.45,0.15000000000000002,0.01,0.04,1,7,63.367399376082034
2973,2.8767057084066465,0.25,0.4,0.030000000000000002,0.025,8,36,63.28752558494622
4954,12.649936128203182,0.4,0.15000000000000002,0.01,0.034999999999999996,2,8,63.24968064101591
1512,2.336115430125542,0.15000000000000002,0.35000000000000003,0.034999999999999996,0.025,19,35,63.075116613389625
1326,3.9380175472964574,0.15000000000000002,0.2,0.034999999999999996,0.04,19,13,63.00828075674332
197,1.7029200397398803,0.05,0.3,0.015,0.034999999999999996,54,20,63.00804147037557
1046,1.1455240825661321,0.1,0.45,0.030000000000000002,0.005,31,79,63.00382454113727
185,1.1993268219849018,0.05,0.3,0.005,0.025,71,34,62.96465815420734
1397,1.5171647286528283,0.15000000000000002,0.3,0.01,0.025,49,34,62.96233623909237
281,1.4790210290036976,0.05,0.35000000000000003,0.025,0.02,39,46,62.85839373265715
73,3.491905287386389,0.05,0.15000000000000002,0.045,0.030000000000000002,25,11,62.854295172955
836,1.31887556872032,0.1,0.3,0.034999999999999996,0.005,25,70,62.6465895142152
2848,1.4503489157041707,0.25,0.35000000000000003,0.005,0.01,21,65,62.365003375279336
3083,1.3831198133276132,0.25,0.5,0.005,0.01,21,69,62.240391599742594
2541,17.767850245248894,0.25,0.1,0.034999999999999996,0.030000000000000002,6,1,62.18747585837113
2897,4.286592433118448,0.25,0.35000000000000003,0.030000000000000002,0.034999999999999996,8,21,62.1555902802175
2048,1.2778845518519357,0.2,0.3,0.01,0.005,27,70,61.97740076481888
317,1.7406499124715036,0.05,0.35000000000000003,0.045,0.02,25,46,61.793071892738375
266,1.6440483555022165,0.05,0.35000000000000003,0.015,0.034999999999999996,54,21,61.651813331333116
2799,4.105025269239785,0.25,0.3,0.02,0.034999999999999996,10,20,61.57537903859677
2280,1.2431419677060227,0.2,0.45,0.005,0.01,31,68,61.53552740144812
2768,1.7286066142433245,0.25,0.3,0.005,0.015,21,50,61.36553480563802
4953,9.428509371178457,0.4,0.15000000000000002,0.01,0.030000000000000002,2,11,61.285310912659966
4142,8.153164303734053,0.35000000000000003,0.15000000000000002,0.01,0.025,3,12,61.1487322780054
2769,1.8763652546155956,0.25,0.3,0.005,0.02,21,44,60.981870775006854
