,close_time,o,h,l,c,v
166,2018-01-30 23:59:59.999,1177.01,1186.85,1051.0,1085.5,155278.55404
167,2018-01-31 23:59:59.999,1084.63,1135.0,1029.0,1124.81,100372.03783
168,2018-02-01 23:59:59.999,1125.96,1164.99,981.0,1041.94,203355.29052
169,2018-02-02 23:59:59.999,1041.89,1047.2,783.67,922.3,377375.22874
170,2018-02-03 23:59:59.999,923.67,998.0,851.0,971.0,160037.88129
171,2018-02-04 23:59:59.999,971.0,975.0,789.0,823.56,186446.0316
172,2018-02-05 23:59:59.999,821.6,862.47,634.94,697.92,365516.52899
173,2018-02-06 23:59:59.999,697.93,798.0,570.1,779.25,648944.4204
174,2018-02-07 23:59:59.999,779.99,849.0,714.18,754.0,356403.4441
175,2018-02-08 23:59:59.999,753.19,786.93,751.0,781.66,10516.2619
176,2018-02-09 23:59:59.999,781.66,882.2,781.66,877.0,95447.67289
177,2018-02-10 23:59:59.999,876.3,911.2,800.0,851.15,214818.06768
178,2018-02-11 23:59:59.999,851.15,857.0,768.28,808.99,189323.408
179,2018-02-12 23:59:59.999,808.58,877.56,807.46,866.66,143586.93121
180,2018-02-13 23:59:59.999,866.39,871.0,820.0,841.57,110305.93537
181,2018-02-14 23:59:59.999,841.57,924.99,841.3,919.09,150342.85558
182,2018-02-15 23:59:59.999,919.09,946.66,895.59,924.55,155637.78524
183,2018-02-16 23:59:59.999,924.55,948.48,901.36,938.67,115540.16349
184,2018-02-17 23:59:59.999,938.6,974.0,933.48,969.99,110091.03618
185,2018-02-18 23:59:59.999,969.99,978.5,897.0,911.0,160129.79518
186,2018-02-19 23:59:59.999,911.0,956.22,906.04,938.11,80099.49534
187,2018-02-20 23:59:59.999,939.17,961.0,873.0,882.99,120056.67502
188,2018-02-21 23:59:59.999,882.99,908.88,812.87,835.89,176200.55151
189,2018-02-22 23:59:59.999,836.35,871.96,786.6,801.49,137561.85113
190,2018-02-23 23:59:59.999,801.47,885.0,785.99,851.6,154507.41338
191,2018-02-24 23:59:59.999,851.59,875.0,805.0,833.94,89311.5794
192,2018-02-25 23:59:59.999,833.92,849.5,813.18,841.19,59431.26474
193,2018-02-26 23:59:59.999,841.46,882.0,833.0,867.98,74911.4656
